Column1,2018,2019,2020,2021
I - TÀI SẢN NGẮN HẠN," 143,192,086,997 "," 137,508,562,783 "," 159,859,937,012 "," 198,439,971,004 "
1. Tiền và các khoản tương đương tiền," 12,756,918,795 "," 10,769,698,730 "," 23,871,515,820 "," 8,808,190,497 "
1.1.Tiền," 12,756,918,795 "," 10,769,698,730 "," 23,871,515,820 "," 8,808,190,497 "
3. Các khoản phải thu ngắn hạn," 130,368,174,078 "," 126,316,429,796 "," 119,052,979,825 "," 180,760,993,125 "
3.1.Phải thu khách hàng," 72,991,289,972 "," 54,627,520,978 "," 59,874,896,470 "," 101,038,446,781 "
3.2.Trả trước cho người bán," 34,169,885,885 "," 45,227,288,939 "," 55,369,825,342 "," 47,166,700,462 "
3.6. Các khoản phải thu khác," 23,206,998,221 "," 26,461,619,879 "," 3,808,258,013 "," 32,555,845,882 "
5. Tài sản ngắn hạn khác," 66,994,124 "," 422,434,257 "," 16,935,441,367 "," 8,870,787,382 "
5.1. Chi phí trả trước ngắn hạn," 66,994,124 "," 422,434,257 "," 11,280,108,782 "," 8,870,787,382 "
II - TÀI SẢN DÀI HẠN," 4,594,432,861,828 "," 4,562,322,186,098 "," 4,587,007,262,129 "," 4,546,964,719,876 "
2. Tài sản cố định," 4,434,323,236,755 "," 4,382,608,968,297 "," 4,429,842,012,439 "," 4,383,497,393,430 "
2.1. Tài sản cố định hữu hình," 4,434,175,509,855 "," 4,382,461,241,397 "," 4,429,694,285,539 "," 4,383,349,666,530 "
- Nguyên giá," 4,940,971,786,165 "," 4,941,050,941,165 "," 5,040,130,161,485 "," 5,044,663,343,303 "
- Giá trị hao mòn luỹ kế," (506,796,276,310)"," (558,589,699,768)"," (610,435,875,946)"," (661,313,676,773)"
2.3. Tài sản cố định vô hình," 147,726,900 "," 147,726,900 "," 147,726,900 "," 147,726,900 "
- Nguyên giá," 147,726,900 "," 147,726,900 "," 147,726,900 "," 147,726,900 "
4. Tài sản dở dang dài hạn," 43,315,849,332 "," 62,859,970,508 "," 40,325,706,332 "," 46,650,201,787 "
2. Chi phí xây dựng cơ bản dở dang," 43,315,849,332 "," 62,859,970,508 "," 40,325,706,332 "," 46,650,201,787 "
5. Đầu tư tài chính dài hạn," 116,700,000,000 "," 116,700,000,000 "," 116,700,000,000 "," 116,700,000,000 "
"2. Đầu tư vào công ty liên kết, liên doanh"," 115,500,000,000 "," 115,500,000,000 "," 115,500,000,000 "," 115,500,000,000 "
5. Đầu tư nắm giữ đến ngày đáo hạn," 1,200,000,000 "," 1,200,000,000 "," 1,200,000,000 "," 1,200,000,000 "
6. Tài sản dài hạn khác," 93,775,741 "," 153,247,293 "," 139,543,358 "," 117,124,659 "
1. Chi phí trả trước dài hạn," 93,775,741 "," 153,247,293 "," 139,543,358 "," 117,124,659 "
Tổng cộng tài sản," 4,737,624,948,825 "," 4,699,830,748,881 "," 4,746,867,199,141 "," 4,745,404,690,880 "
I - NỢ PHẢI TRẢ," 3,024,970,146,731 "," 2,961,466,253,555 "," 2,989,101,501,682 "," 2,936,462,709,627 "
1. Nợ ngắn hạn," 495,990,091,018 "," 511,017,197,843 "," 421,587,495,970 "," 455,618,703,916 "
1.1. Phải trả người bán ngắn hạn," 59,480,494,448 "," 50,033,891,697 "," 10,815,865,361 "," 10,448,845,321 "
1.3.Thuế và các khoản phải nộp Nhà nước," 27,338,559,577 "," 33,196,149,407 "," 25,391,287,550 "," 23,630,778,774 "
1.4. Phải trả người lao động," 1,538,815,579 "," 2,245,988,897 "," 1,661,202,568 "," 1,600,987,840 "
1.5. Chi phí phải trả ngắn hạn," 9,791,965,092 "," 4,709,000,001 "," 10,946,564,874 "," 28,135,697,740 "
1.9. Phải trả ngắn hạn khác," 33,080,024,559 "," 36,404,333,436 "," 19,245,863,805 "," 27,768,084,186 "
1.10. Vay và nợ thuê tài chính ngắn hạn," 357,423,153,951 "," 377,090,756,593 "," 346,189,634,000 "," 358,692,524,443 "
"1.12 Quỹ khen thưởng, phúc lợi"," 7,337,077,812 "," 7,337,077,812 "," 7,337,077,812 "," 5,341,785,612 "
2. Nợ dài hạn," 2,528,980,055,713 "," 2,450,449,055,712 "," 2,567,514,005,712 "," 2,480,844,005,711 "
2.1. Phải trả dài hạn người bán," 378,808,650,231 "," 378,808,650,231 "," 375,051,600,231 "," 375,051,600,231 "
2.7. Phải trả dài hạn khác," 125,307,948,000 "," 125,307,948,000 "," 125,307,948,000 "," 125,307,948,000 "
2.8 Vay và nợ thuê tài chính dài hạn," 2,024,863,457,482 "," 1,946,332,457,481 "," 2,067,154,457,481 "," 1,980,484,457,480 "
II - VỐN CHỦ SỞ HỮU," 1,712,654,802,094 "," 1,738,364,495,326 "," 1,757,765,697,459 "," 1,808,941,981,253 "
I. Vốn chủ sở hữu," 1,712,654,802,094 "," 1,738,364,495,326 "," 1,757,765,697,459 "," 1,808,941,981,253 "
1. Vốn góp của chủ sở hữu," 1,350,000,000,000 "," 1,457,999,040,000 "," 1,457,999,040,000 "," 1,457,999,040,000 "
- Cổ phiếu phổ thông có quyền biểu quyết," 1,350,000,000,000 "," 1,457,999,040,000 "," 1,457,999,040,000 "," 1,457,999,040,000 "
11. Lợi nhuận sau thuế chưa phân phối," 362,654,802,094 "," 280,365,455,326 "," 299,766,657,459 "," 350,942,941,253 "
- LNST chưa phân phối lũy kế đến cuối kỳ trước," 67,298,430,512 "," 93,009,083,744 "," 112,409,325,877 "," 48,974,847,705 "
- LNST chưa phân phối kỳ này," 295,356,371,582 "," 187,356,371,582 "," 187,357,331,582 "," 301,968,093,548 "
Tổng cộng nguồn vốn," 4,737,624,948,825 "," 4,699,830,748,881 "," 4,746,867,199,141 "," 4,745,404,690,880 "
